en,vi
"There is a castle, I believe, just south of Naples","Theo em biết, có một lâu đài ở phía nam Naples"
And one of the things that you realize is it is an unusual environment,Và bạn nhận ra đó là một môi trường không bình thường
"In other words, eating lots of sugar will continue to feel rewarding","Hay nói cách khác, ăn nhiều đường sẽ tiếp tục cảm thấy thỏa mãn"
I admit it has been a trying year,Tôi biết ngài mất thời gian đến đây
"You do not need to fear me, girl",Nàng không phải sợ ta
The other thing you need to know about shame is it is absolutely organized by gender,Một điều khác nữa mà bạn cần biết về sự xấu hổ là nó hoàn toàn phân biệt theo giới tính
Just wait until the girls come out,Chỉ cần chờ đợi mấy cô gái đi ra
Plastic ice cream scoop ?,Muỗn múc kem đấy à ? Bao nhiêu tiền
"The unsub may feel a need to be there, to physically mourn for what he caused","Hung thủ có thể cảm thấy cần phải ở đó, để cơ thể than khóc cho những gì hắn đã gây ra"
I have something amazing to show you,Ta có vài thứ kinh ngạc cho con xem đây
"The second thing he said was that,",Điều thứ hai là
And we are not afraid of the dark,Và họ không hề sợ bóng tối
"Please, do not make me cover phones for you ever again",Làm ơn đừng bắt mình trực điện thoại cho cậu nữa
"It is not gonna be me, I promise you that","Đó không phải là tôi, tôi hứa với ông như vậy"
In there Is the solution,Trong đó là giải pháp
"This girl, she is no good",Đứa này không hay đâu
Why did you include this ?,Sao cậu lại thêm đoạn này vào
"Upon being informed of the situation, Hopman sortied with Prinz Heinrich and Prinz Adalbert to support von Karpf","Được báo cáo tình hình, Hopman khởi hành cùng với Prinz Heinrich và Prinz Adalbert để trợ giúp von Karpf"
I saw all his reindeer right there on the beach,Anh đã thấy mấy con tuần lộc của ổng ngoài bãi biển
McLaren are expected to announce a similar deal with Castrol in the coming weeks,McLaren dự kiến sẽ công bố một thỏa thuận tương tự với Castrol trong vài tuần tới
"I have nothing against civil service, but what you do, at its core, is reactive","Tôi không có ý gì về việc phục vụ cộng đồng đâu, nhưng việc cậu làm, về cốt lõi chỉ là bị động thôi"
"If they are the right guys, they will come to get you",Chúng sẽ đến giết anh
It does not cause bleeding,Nó không gây xuất huyết
He was working as a professor at Seoul National University at the time,Ông đã làm việc như một giáo sư tại Đại học Quốc gia Seoul vào thời điểm đó
"Cutting em goddammed rows, daylight to dark",Cắm mặt vào những luống cây từ sáng tới tối
Wonderful to imagine and easy to fall in love with but a little fantastic and fleeting and out of reach,rất đẹp khi hình dung và dễ dàng yêu thích nó nhưng hơi viển vông và phù du và ngoài tầm với
"You can have anything you want, Sonny",Cậu có thể có bất cứ thứ gì cậu muốn
"All four feature films based on the Bleach series were directed by Noriyuki Abe, director of the Bleach anime series","Có bốn bộ phim dựa trên Bleach, tất cả đều được đạo diễn bởi Noriyuki Abe, giám đốc của Bleach anime"
"All three organizations are based in Cairo, Egypt","Cả ba tổ chức đều có trụ sở tại Cairo, Ai Cập"
The ultimate destruction of the world will then come through seven suns,Sự hủy diệt cuối cùng của thế giới sau đó sẽ đi qua bảy mặt trời
"I am just sort of letting the universe surprise me, right ?","Tôi chỉ là để cho mọi thứ đến bất ngờ với tôi, phải không"
She moves like she is been expertly trained,Quan sát thân thủ cô ta thì có lẽ đã được đào tạo chuyên nghiệp
Malamadre always keeps his word,Malamadre luôn luôn giữ lời hứa
"I mean, I know I must have them","Nhưng chắc chắn em có, đúng không"
He would give all he had to stay,Anh sẽ bỏ tất cả để ở lại
Can not fault you for that,Không trách anh được
The Communist Organisation operated through both legitimate and secret organisations to propagate Communist ideology,Tổ chức Cộng sản hoạt động thông qua các hình thức hợp pháp và bí mật nhằm truyền bá tư tưởng cộng sản
You did not get the memo ?,Cô không nhận được bản ghi nhớ sao
"Anything below that line, I did not do","Những thứ phía dưới hàng đó, tôi chưa ghi"
"If I wanted none, I would stay home with Esther",Nếu tôi không muốn gì thì tôi đã ở nhà với Esther
Actually I have thought for a long time,Kỳ thực anh đã nghĩ ra lâu rồi
Then why did you come all the way up here ?,Vậy tại sao anh lặn lội lên tận đây ? Anh thực sự xin lỗi nếu mà anh đã gửi sai thông điệp
"So, I guess we will have to start all over again",Nên có lẽ khi ấy ta lại phải bắt đầu lai từ đầu
Can someone please read her file ?,Có người làm ơn đọc hồ sơ của cô ta cái đi
And on that day when you add your stone you will raise this whole island higher,"Và đến lúc con đặt hòn đá của con lên,"
My maid who was arrested for running away with a guard,Thi nữ của ta đã bị bắt vì bỏ trốn theo một tên lính
"Oh, the same sort of things I wrote about in Africa, Indonesia","Ôi, cũng như những chuyện anh đã viết ở Châu Phi, Indonesia"
Live bait is the way to go,Mồi sống thì tốt đấy
I did not know your last name,Anh không biết họ của em
"I can not be expected to sort through everyone of them for your mystery man, can I ?","Tôi không thể xem xét từng người với người đàn ông bí ẩn của cô, đúng không"
This letter will give you instructions on how to get to her villa in the country,Bức thư này sẽ chỉ dẫn cho ngài biết cách đi tới lâu đài của cổ ở vùng quê
Now show me my new dinosaur,Giờ cho tôi thấy con khủng long mới nào
They are gettin ready to come in,Thế đấy chúng đã sẵn sàng xông vào rồi đấy
He is just gonna send as many men as it takes to squash you flat,Ông ta sẽ gởi đến thật nhiều lính để nện các anh ra bã
She was the favourite sister of Marie Antoinette,Bà là mẹ của Marie Antoinette
"Well, it ﬂies in the face of history",Nó bay vào quên lãng thôi
It has all the earmarks of a benign,Tất cả các dấu hiệu đều lành tính
Signs such as dots were sometimes drawn,Các dấu hiệu như các chấm thỉnh thoảng cũng được vẽ
Now I have been talking a lot about magic,"Nào, tôi đã nói rất nhiều về phép màu"
"If we are going to figure out where tobias hankel has taken reid, the answer is in this house","Nếu ta sẽ tìm nơi Tobias Hankel đưa Reid đi, câu trả lời trong nhà này"
He is also known to smoke cigarettes,Ông cũng được biết là người hút thuốc lá
"If you are a fellow Rotarian, nice to meet you","Nếu bạn là thành viên của Rotarian, thì rất vui được gặp bạn"
Its niches hold sculptures of saints framing the main body,Các hốc nhà nguyện là tượng điêu khắc các thánh làm thành khung chính
We are their children and they love us,Chúng ta là con của ngài và ngài yêu quí chúng ta
The government of the Peoples Republic of China has made few statements about the incident or the people involved,Chính quyền Trung Quốc không đề cập nhiều đến sự kiện này và người đàn ông liên quan
A piece of cardboard with a number,Một mảnh bìa các tông với một số trên đó
Another way to achieve our goals,Cách khác để đạt được mục đích
I was trying to stop it,Tôi đã cố gắng ngăn cản
"No, I will always see you as my big brother","Không, em luôn luôn xem anh là anh trai của mình"
Because the bacteria we was had no idea of what we are today,Vì con vi khuẩn đó không hề biết gì về chúng ta hôm nay
P value is still high,Năng lượng Proton vẫn đạt mức cao
It seems a book that tells the real life of Knef,Đó là sự kiện duy nhất Hán thư ghi lại về cuộc đời của Lưu Nghĩa
Excess use may result in low blood sodium and other electrolyte problems,Sử dụng quá liều có thể dẫn đến nồng độ natri máu thấp và các vấn đề liên quan đến điện giải khác
How do you think Joeys gonna react when he finds out you blew off his sister with a letter ?,Joey nghĩ sao khi cậu đá em của cậu ấy bằng lá thư này hả
But I never discussed it with him,Nhưng em chưa bao giờ bàn với ảnh
You sure you wanna take this on ?,Các cậu có chắc là muốn làm chuyện này không
Evolution is cleverer than you are,Sự tiến hóa thông minh hơn bạn
This maturation of electrical properties is seen across species,Sự trưởng thành của các tính chất điện được nhìn thấy trên các loài
Although I can not fight against the traitors,Mặc dù tôi không thể chiến đấu chống lại những kẻ phản bội
"Next, you can stop pointing that gun at me","Tiếp theo, anh có thể thôi chĩa súng vào tôi được rồi"
She kept it quiet so her sister would not find out,Cô ấy giữ im lặng chuyện đó để em mình không biết
"Despite his notorious role in all the gospel narratives, Judas remains a controversial figure in Christian history","Mặc dù vai trò nổi tiếng của ông trong câu chuyện Phúc Âm, Judas vẫn là nhân vật gây tranh cãi trong lịch sử Kitô giáo"
"On the last day, a grand fair called Ganga Mela or the Holi Mela is celebrated","Trong ngày cuối cùng, một hội chợ lớn được tổ chức gọi là Ganga Mela hoặc Holi Mela"
I do not think he loves women A LOT ?,Cũng cũng không đến mức cực thích con gái đâu
There is a man for you,"Đó là người dành cho ông, mục sư"
I am not asking for that,Tôi chưa yêu cầu chuyện đó
Go get Pedro and Paco and the others,Đi kêu Pedro và Paco và những đứa khác
"No sir, we are here as the emissaries of science",Thực ra bọn em tới đấy với tư cách là phái viên của khoa học
"True loves kiss, remember ?","Nụ hôn tình yêu đích thực, đúng không"
We have come for economic and educational opportunity,Chúng ta đến vì cơ hội kinh tế và học tập
Do you not have any formality ?,Cô không biết nói lời khách sáo sao
What if we need food or fuel or flashlight batteries ?,"Nếu chúng ta cần thức ăn, xăng hay pin đèn thì sao"
I have no specific church as such,Tôi không có nhà thờ cụ thể như vậy
"This is for your trouble, Signor Jonson","Đây là thứ cho sự rắc rối của ngươi, Signor Jonson"
"It is nice to see something lightweight once in a while, that you do not have to think about","Thật tốt khi có một khoảng thời gian thư giãn, mà không phải bận tâm suy nghĩ"
I aint afraid of nothing,Tôi chẳng sợ cái gì cả
"I mean, what was I learning at school anyway ?",Cháu đang học cái quái gì ở trường cơ chứ
He had no idea what I was up to,Cậu ấy không biết tôi định làm gì
"Reality may not play out exactly like our thought experiments, but that is not the point","Thực tế có thể sẽ không giống thử nghiệm của chúng ta, nhưng đó không phải là điểm chính"
We can not put her at risk,Hắn đang giữ Margaery
Aim at the middle of the body,Hãy nhắm vào chính giữa cơ thể
It will take you too long to paddle across,Quá lâu để chèo thuyền qua
That we would be friends,Là chúng ta có thể là bạn
Can they at least wait outside ?,ít nhất họ có thể chờ ở bên ngoài không
he would never hurt Anyone,Nó không bao giờ hại ai
My conversations with the governor and any position that I may or may not have,Các cuộc đối thoại của tôi với ngài Thống đốc và bất kỳ cái vị trí nào mà tôi có hay không có
I would love to show her your stuff,Tôi rất muốn cho nó thấy cái cô làm
And my poor dear parents,Và cả bố mẹ tội nghiệp của ta nữa
"In fact, do not do anything until I have completed my work","Thực ra, đừng làm gì cho tới khi tôi xong việc"
How is it going with you and Mona ?,Cậu với Mona thế nào rồi
And here is your change,Đây là tiền thừa của chú ạ
"Excellence at the high jump requires talent, hard work training, a good nights sleep and finally, respect for your teacher","Để nhảy cao tốt cần phải có tài năng, khổ luyện kiên trì, và ngủ đầy đủ và quan trọng, là phải tôn trọng giáo viên của mình"
How your history would be suppressed,Lịch sử về cậu sẽ bị loại bỏ
My god he wants to ?,Chúa ơi hắn muốn mình
He raised his hands and they all stood up at once,Hắn chỉ giơ tay lên và toàn bộ bọn họ đứng dậy
"And, you know, the staties had that case as to maybe your outfits got ties to that crime syndicate","Và chị biết đấy, có báo cáo rằng Có thể chồng chị có liên quan tới tổ chức tội phạm"
Things I never imagined myself doing,Những thứ ta không bao giờ nghĩ ta dám làm
I wanna talk about how bad you make this room look,Tôi muốn nói về việc cô làm cho căn phòng tệ hại như thế nào
Dying is not hard at all,Chết không hề khó khăn
"They think I am your kid, so you have to worry about protecting me",Chúng nghĩ cháu là con chú và chú phải lo lắng bảo vệ cho cháu
Achill Island lies off the coast of County Mayo and is Irelands largest island,Đảo Achill nằm ngoài khơi hạt Mayo và là đảo lớn nhất Ireland nếu không tính đảo chính
I think that makes us even,Em nghĩ nó làm chúng ta hòa
Well not just anything but what I was born to do,"Không chỉ mọi chuyện, mà đó là số phận của tôi"
I am sorry  Have I been discourteous ?,Ý anh là tôi bất lịch sự sao
My name is Richard summers,Tên tôi là Richard Summers
Credible threats with detail,Đáng tin đến từng chi tiết
You get past me and you are home free,Mày qua được tao thì được tự do đi về
"Sodium fluoroacetate is used as a pesticide, especially for mammalian pest species","Natri floacetat được dùng làm thuốc diệt hại, đặc biệt là các loài động vật có vú"
"Cause thatd be a real big promotion for me, if I could get that one",Nếu biết thì tôi có thể sẽ được thưởng lớn lắm đấy
I told you not to go out without us,Đã bảo là đừng đi ra ngoài mà không có chúng ta
He subsequently joined Gyeongnam FC,Sau đó anh gia nhập Gyeongnam FC
Most Streamed Songs in a Single Day,Lượt stream nhiều nhất trong một ngày
(Laughter) But school was torture for me,(Cười) Trường lớp lại là sự tra tấn đối với tôi
I do not have my instructions,Mình không có sách hướng dẫn
Look at this face,Nhìn vào khuôn mặt này xem
High possibility of target in the vicinity,Khả năng cao là mục tiêu ở gần đó thôi
No structural heart damage,Không có tổn thương cấu trúc tim
You are as safe now as you were with them then,Giờ anh an toàn như lúc anh gặp họ
"In that year he published the Peano axioms, a formal foundation for the collection of natural numbers","Trong năm đó, ông xuất bản các tiên đề Peano, một nền tảng chính thức cho việc thu thập các số tự nhiên"
"Oh, well, thank you for taking your tongue out of my sisters mouth to tell me that",Cảm ơn cậu vì đã bỏ lưỡi ra khỏi miệng em tớ để nói điều đó
One of these chambers contains a capsule with aged horse semen,Mỗi một ngăn ở đây có chứa một bao trong đó là tinh dịch ngựa trưởng thành
Have you been arrested before ?,Cậu từng bị bắt trước đây chưa
"But they are already here, my lord",Nhưng họ đã ở đây rồi
Just in case you remember something else,Đề phòng còn nhớ gì khác
Have you expected the publics reaction ?,Anh có đoán được là phản ứng của công chúng sẽ như thế
So whatwouldyouliketotalkabout ?,Anh muốn nói về điều gì
It is not such a bad landing site after all,Hóa ra địa điểm hạ cánh này không hề tệ chút nào
And so I though I would come and try and put spaghetti sauce behind me,Vì thế tôi nghĩ là tôi đến đây và cố gắng đưa nước sốt mì vào quá khứ
It is primarily concerned with the arrangement of electrons around the nucleus and the processes by which these arrangements change,Nó chủ yếu quan tâm đến cấu hình electron xung quan nhân và các quá trình làm những cấu hình này thay đổi
Now would you please arrest me and take me to your king ?,Giờ anh có thể vui lòng bắt và đưa tôi đến chỗ nhà vua chứ
"You are messing up with the wrong guy, babe",Chọc lộn người rồi cưng
"(Laughter) That is not what I am here to talk about, but it is a fascinating aspect of animal design","(Tiếng cười) Đó không phải là điều tôi muốn nói ở đây, nhưng nó là một khía cạnh hấp dẫn về thiết kế của các loài động vật"
It is not Riley Dawes,Không phải Riley Dawes
I wonder who is gonna play you in the movie,Tớ tự hỏi không biết ai sẽ đóng thế cậu trong bộ phim này nữa
"Oh, well, uh, maybe that is because they are, uh, jealous of us",Có thể họ đang ghen tỵ với chúng ta
You mean he is still there ?,Ông nói là hắn vẫn còn đó
"According to one report, he is gone to Egypt","Theo một báo cáo, ông ta đã đi Ai Cập"
I am very busy at the moment,Giờ tôi đang rất bận
How about you trade him for me ?,Đổi tao vào thay Jasper thì thế nào
A warm welcome to Peter Sunde,Nhiệt liệt chào đón Peter Sunde
The outbreak of war focused minds,Việc chiến tranh nổ ra đã giúp tập trung các đầu óc
"Your mission, should you choose to accept it, is to find Lindsey and bring her home","Nhiệm vụ của cậu, cậu nên thực hiện nó, là tìm Lindsey và đưa cô ấy về nhà"
"Know why I pulled you over, sir ?",Anh có biết tại sao tôi đuổi theo anh không
"Tourists are not allowed to blow themselves up, you know","Du khách không được phép tự làm mình nổ tung, anh biết đó"
I always made that toilet shine,Tôi rất muốn làm một người con gái đẹp
We talk about ourselves,Chúng ta nói về chính chúng ta
"And he can, he can look at birds, and work on his book",Bố có thể tìm hiểu các loài chim và tiếp tục với cuốn sách của bố
A toast to my friend and mentee,Nâng cốc vì người bạn và mentee
And I am sure Pierre was in the right when he challenged him,Và em chắc chắn rằng Pierre đúng khi đã thách thức anh ấy
Rice is the main crop,Lúa là cây trồng chính
You could not kill me if you tried for a hundred years,Dù có cố một trăm năm nữa thì mày cũng chẳng giết nổi tao
Am I the only one that sees that by doing this we are making ourselves irrelevant ?,Có phải tôi là người duy nhất cho rằng nếu áp dụng phương pháp này chúng ta sẽ tự làm khó mình không
He is playing on our emotions,Hắn nhắm vào tình cảm của chúng ta
So the biggest thing is that there are differences,"Vậy thì, điều rõ ràng nhất ở đây là có tồn tại sự khác biệt"
"As production increased, those of lesser means were able to join in on this movement","Vì việc sản xuất tăng lên, các tầng lớp dưới cũng có thể tham gia vào phong trào này"
Is the information verifiable ? Is it a hoax ? Is it true ? Is it what ?,Thông tin này có thể kiểm chứng ? Nó có là trò lừa
"Those men, I know them","Những người đàn ông này, cháu biết họ"
"At that point, flames made the central station unusable, and communication circuits went dead","Lúc đó, một số đám cháy khiến cho không giữ được trạm trung tâm, và mọi đường dây liên lạc đều bị cắt đứt"
All of these figures are below the national average,Các số liệu này thấp hơn trung bình toàn quốc
"Thank you so much for all your help, Peter","Cảm ơn vì đã giúp đỡ, Peter"
The problem is he knew all of them,Vấn đề là thằng này nó biết hết
You will find the cure again,Anh hãy tiếp tục tìm cách chữa trị
Why do only I see these things ?,Sao chỉ mình anh nhìn thấy những điều này
You tell him the Hollow Mans here,Nói hắn Người rỗng tuếch ở đây
"This safeguard reflects the experience of authoritarian governments under the First, Third, and Fourth Republics","Biện pháp bảo vệ này rút kinh nghiệm từ các chính phủ độc tài dưới các nền Đệ nhất, Đệ tam, Đệ tứ Cộng hòa"
"Da Afghanistan Bank, the nations central bank, is headquartered in Kabul","Da Afghanistan Bank là ngân hàng trung ương của quốc gia, có trụ sở tại thủ đô Kabul"
The delegates want to be able to speak freely without fear of offending anyone,Các đại biểu muốn được bàn luận tự do mà không sợ mất lòng ai
"The screen allows VR mode to be enabled, splitting the screen into two equally sized displays","Màn hình cho phép chế độ VR được bật, chia màn hình thành hai màn hình có kích thước bằng nhau"
Many people would rob you if they know what you have,Có nhiều người sẽ cướp của cô nếu biết cô đang giữ thứ gì
"If the Wilberforces find out what you are doing, they will kill you",Nếu tụi Wilberforce biết mày chúng sẽ giết mày đó
"Marius It is for Cosette this must be faced If he is caught, she is disgraced","Marius, đó là điều Cosette phải đối diện, nếu ta bị bắt, con bé sẽ ghét bỏ ta, đây là lúc cần tiếp tục cuộc hành trình,"
So we do not expect at all to find a cave there,Thế nên chúng tôi không hề nghĩ là có thể tìm hang động ở đó
You should have seen your face in that picture,Cậu phải nhìn thấy mặt cậu trong bức ảnh đó
And its interior was designed by STUDIOS Architecture,Thiết kế nội thất bởi Studios Architecture
You wanna know where I have been ?,Anh muốn biết em đã đi đâu ko
"I would say not just biological design, but all of the design that we think of as human design","Tôi không chỉ nói đến kiến tạo sinh học, còn tất cả thuộc về con người ta nghĩ đến"
"Indeed, it is the only thing that ever has","Thật sự, đó là cũng cách duy nhất để thay đổi thế giới"
This is an example of exhaustion of opportunities,Đây là một ví dụ của sự kiệt sức của cơ hội
"We found a couple of other videos of the fight, and we have been analyzing them frame by frame, which",Chúng tôi tìm thấy vài video nữa về cuộc đánh nhau  Phân tích từng phân cảnh một
To make him actually believe you could cure my leukemia,Để khiến anh ấy tin rằng cô thực sự có thể chữa được bệnh ung thư máu của tôi
Did not your father have something like this when we were kids ?,Không phải bố em có một thứ như vầy lúc mình còn nhỏ ư
"It is hard, but he really does","Nó thật khó, nhưng anh ấy hiểu"
"to cover up the fact that as a child, he killed his father",để che dấu sự thật là khi còn nhỏ anh ta đã giết chính cha mình
The Core is also home to art exhibitions throughout the year,The Core cũng là nơi triểm lãm nghệ thuật suốt năm
So you must know about my friend,"Nên ông hẳn phải biết chuyện bạn tôi,"
"Together, we shall rule this entire continent",Lưu Tú cơ bản làm chủ toàn bộ Hà Bắc
Example of person playing the circle game,Ví dụ về trò chơi vòng tròn
I send them the same two questions every single time,Lần nào tôi cũng gửi họ hai câu hỏi này
Anything to do with letting me go find that bomb before somebody gets hurt ?,Có phải nó có nghĩa là tìm thấy bom trước khi nổ không
Such a powerful scene you describe,Bàmiêutả giốngnhư một cảnh tượng kì vĩ
I would love nothing more,Tớ không mong muốn điều gì hơn thế nữa
He figured out the system,Anh ấy đã khám phá ra cách thức rồi
We think that things a weapon,Chúng tôi cho rằng đấy là vũ khí
I am done doing their dirty work,Chú không làm việc bẩn thỉu nữa
It is the story of my life,Đó là câu chuyện đời tôi
"You should be paying rent, not living in your parents basement",Bố nên trả tiền thuê nhà đi và đừng sống dưới tầng hầm của ông bà nữa
"You know what you got now, Chris ?",Anh biết mình phạm tội gì chưa Chris
"What, what went wrong ?","Cái gì, cái gì đã sai"
The fire drove hundreds of Infected out of Manchester,Vụ hỏa hoạn thiêu chết hàng trăm người dân thành phố Manchester
"Personification occurs when a thing or abstraction is represented as a person, in literature or art, as an anthropomorphic metaphor","Nhân cách hóa xảy ra khi một sự vật hoặc sự trừu tượng được thể hiện như một người, trong văn học hoặc nghệ thuật, như một phép ẩn dụ nhân học"
And you are gonna be going there with Joey Tribbiani,Và bạn sẽ đi cùng với Joey Tribbiani
"They were good times, were not they ?","Quá khứ thật huy hoàng, phải không"
That kid that went missing up in White Horse,Thằng bé bị mất tích ở White Horse ấy
"No, Alan is not a part of this team","Không, Alan không thuộc nhóm này"
So you want to cut me up ?,Vậy anh muốn cắt cổ tôi
Since her childhood she showed interest in music and dance,"Từ khi còn nhỏ, bà đã bộc lộ năng khiếu về âm nhạc và vũ đạo"
"Given that these childrens brains are still developing, we limited each experience to last a maximum of two minutes","Vì trí não của trẻ em vẫn đang phát triển, chúng tôi giới hạn mỗi trải nghiệm kéo dài tối đa hai phút"
It is okay if you are a cybor,Nếu con mà là rôbôt thì cũng ổn
And this is breast cancer,Và giờ là ung thư vú
You eating everything here,Ông ăn hết đồ ở đây rồi
Biopsy shows nerve inflammation consistent with increased intracranial pressure,Sinh thiết cho thấy có sự viêm nhiễm ở các dây thần kinh với bị tăng áp lực nhồi sọ
"You want that stuff in Bournes hands, out on the market to the highest bidder ?",Cô có muốn nhưng thông tin đó rơi vào tay Bourne ? Hay trôi nổi ở thị trường chợ đen
I could stay here all day,Em có thể ở đây cả ngày
I will always remember this day,Tôi sẽ không bao giờ quên ngày này
Countries such as Pakistan and Bangladesh also operate their own schools and curriculum,Các quốc gia như Pakistan và Bangladesh cũng vận hành các trường học và chương trình giảng dạy riêng của họ
And ready to sacrifice myself at any moment for Your Highnesss greater glory,Và sẵn sàng hi sinh thân mình bất cứ lúc nào vì vinh quang to lớn hơn của đức Vua
"I mean, you have got to be willing to be competitive",Cô phải sẵn sàng cho sự cạnh tranh
"You should, you should be almost to it",Anh sắp tới gần nó đấy
"Animals like the Ganges river dolphin which is just down to a few left, and it is also critically endangered",Những loài vật như cá heo sông Hằng chỉ còn lại một vài con và đang có nguy cơ tuyệt chủng
"To defend itself, Lucis raised a magical wall the strength of which comes from the crystal itself","Để bảo vệ chính mình, Lucis đã tạo lên bức tường ma thuật sức mạnh được tạo ra bởi Crystal"
Not that she did not support your dream,Không phải bà không ủng hộ giấc mơ của em
He is walked slow these last few evenings,Ông ấy đã bước đi chậm rãi trong những buổi tối cuối cùng
"Training on an instrument results in stronger development of the left temporal lobe, which is linked to verbal processing","Đào tạo về một kết quả cụ phát triển mạnh mẽ hơn của trái thùy thái dương, được gắn với chế biến bằng lời nói"
"Big ones, small ones, the cute ones with the little Hitler mustaches on them","Cái lớn, cái nhỏ, dễ thương với chút râu Hitler trên đó"
"It is mainly cultivated in the mandals of Banaganapalle, Panyam and Nandyal of Kurnool district","Nó chủ yếu được trồng ở các thị trấn nhỏ ở Banaganapalle, Panyam và Nandyal của quận Kurnool"
The scopitone is the precursor to the contemporary music video,Scopitone là tiền thân của video âm nhạc đương đại
"Archaea recycle elements such as carbon, nitrogen and sulfur through their various habitats","Vi khuẩn cổ tái sử dụng các nguyên tố như cacbon, nitơ, sulfua thông qua những môi trường sống đa dạng của chúng"
(GROANING) This our work,Đây là công việc của chúng tôi đấy
"Brian is lost in the world, and I can believe that he is mixed up with this drug","Brian đang bế tắc, và tôi có thể tin là nó có dính dáng đến thứ thuốc này"
but I do not believe I will feel the need to use all of it,"Được truyền cảm hứng từ sự thật, nhưng tôi không tin là tôi sẽ cảm thấy cần sử dụng tất cả"
"And said, you still many had to learn","Và nói rằng, con còn nhiều điều phải học nữa"
I am robot king of the monkey kin,Tôi là một vị vua robot của loài khỉ
How could I have been so careless ?,Làm sao tôi có thể bất cẩn thế
"Well, who is good at puzzles ?",Ai giỏi ghép hình nào
"Here, she is trying to get a piece of meat out of a tube","Đây, nó đang cố lấy một miếng thịt ra khỏi một cái ống"
Just washed up here this morning,Vừa dạt vào đây hồi sáng
Where is my wild goose ?,Con ngỗng trời của tôi đâu rồi
"I was thinking we should just use lawyers, save us the real estate commission","Tôi nghĩ ta nên thuê luật sư, tiết kiệm tiền hoa hồng nhà đất"
"Some say it is the water, but I have my own theory","Một số cho rằng là bởi nước, nhưng tôi có giả thuyết khác"
You will be free to continue that work once Sister Jude has been turned out,Ông sẽ được thoải mái tiếp tục làm việc một khi sơ Jude bị đuổi ra
The others listen to him,Những người khác sẽ nghe theo cậu ấy
It is named after the English city of Plymouth from where the first English settlers migrated,"Nó được đặt tên theo thành phố Plymouth, nước Anh vì thực dân châu Âu đầu tiên đến từ đó"
The eyes are an ocean blue,Đôi mắt có một màu xanh đại dương
You come from former servants,Ngươi là con của một bầy tôi trung thành
"The coenosteum of each Montipora species is different, making it useful for identification","Coenosteum của mỗi loài Montipora là khác nhau, điều này hữu ích cho việc nhận dạng"
Distillation of hydrogen peroxide at normal pressures is thus highly dangerous,Việc chưng cất hydro peroxide ở áp suất thường cũng rất nguy hiểm
"If you do not, you are going to lose a lot more than your job","Nếu không, cô sẽ không chỉ bị mất việc đâu"
Arthurs old enough to make decision of himself,Arthur đã đủ lớn để tự mình ra quyết định
"Well, you are now looking at the outside of a humans right leg",Hiện giờ anh đang nhìn vào phía ngoài chân phải của con người
I ask your forgiveness for what I done,Tôi cầu xin ngài tha thứ cho những gì mà tôi đã làm
He might as well start a Korean car company,Ông ấy có lẽ cũng bắt đầu một công ty xe hơi Hàn Quốc
It is one man against thousands,Đó là một người đàn ông với hàng ngàn
"Well, the only thing we will be reducing is all of your bonuses to start",Thứ duy nhất mà chúng ta giảm là bắt đầu từ lương thưởng của các vị
I took you off the street,Chính ba đã nhặt nuôi con từ đường phố
"When the portal is open, Guldan will bring the Horde","Khi cánh cửa được mở, Guldan sẽ đưa cả bộ tộc qua"
"The mountain men, they will come, and they will kill us all","Những người thổ dân, họ sẽ giết sạch tất cả"
"He is a quite person, with a gentle kind of feeling","Lặng lẽ ít nói, với vẻ lịch sự bề ngoài"
Nucleon spin structure describes the partonic structure of nucleon (proton and neutron) intrinsic angular momentum (spin),Cấu trúc spin Nucleon mô tả cấu trúc parton của nucleon (proton và neutron) động lượng góc nội tại (spin)
"Now, Madeleine, think of when you were here","Bây giờ, Madeleine, hãy nhớ lại em đã tới đây hồi nào"
"If you want fear, you need dominance in Selma","Nếu ông muốn sự sợ hãi, ông cần thống trị ở Selma"
Get the Top Scholar candy,Đi lấy chút kẹo Trạng Nguyên đến đây
That one dressed like a peddler ? Yes,Cái người ăn mặc như người bán rong
"Aiding Jin in their wars against the Song, Western Xia gained thousands of square miles of former Song territory","Trong cuộc chiến tranh chống Tống, Tây Hạ tham chiến hỗ trợ quân Kim và nhờ đó đã đoạt được hàng ngàn dặm vuông của đất Tống"
"Then, such a wedding not seen since of a princess and her farm boy prince",Một đám cưới chưa từng xuất hiện Giữa công chúa và chàng hoàng tử nông dân
Did he tell you where Fibonacci is ?,Anh đã xử thằng nhóc đó chưa
She started her career as a model in music videos as well as some commercials,Cô bắt đầu sự nghiệp của mình như một người mẫu trong các video âm nhạc cũng như một số quảng cáo
"Well, Andys your brother, you know ?",Andy là em trai của anh mà
"Or is it like, you can take other language like Spanish or something like that ?","là nó như thế, bạn có thể có ngôn ngữ khác như Tây Ban Nha hoặc một cái gì đó như thế"
"In order to operate, this machine needs a number of things that this hospital has to offer","Để có thể vận hành, thiết bị này cần một số thứ mà bệnh viện phải đáp ứng được"
"I mean, she is smart, I think, but not educated",Cô ấy thông minh nhưng không có học hành
"Right and wrong, good and evil, they are just words",chỉ là ngôn từ mà thôi
There is a place I found I would like to show you,Anh muốn dẫn em tới một nơi
Someone saw the news,Có người đã xem thời sự
"Why do not you kiss me now, Lorenzo ?","Sao bây giờ anh không hôn tôi, Lorenzo"
